cycle,nom_foyer,type_repas,nom_plat,cout,justification,magasin,salle_sport,achat,alertes
0,Foyer Malgache,petit_dejeuner,Cereales lait,10000.0,Achat requis (cereales,lait) @ SuperU Andraharo | culture:35/35 > budget:25 > historique:25 > nutrition:17,SuperU Andraharo,,true,0
0,Foyer Malgache,dejeuner,Lasary voatabia,12500.0,Achat requis (tomate,citron) @ Shoprite Analakely | culture:35/35 > budget:18 > historique:17 > nutrition:12,Shoprite Analakely,,true,0
0,Foyer Malgache,diner,Mofo gasy,7500.0,Achat requis (farine_riz,levure,sucre) @ Epicerie Isotry | culture:35/35 > budget:7 > historique:5 > nutrition:3,Epicerie Isotry,,true,0
0,Foyer Europeen,petit_dejeuner,Lasary voatabia,2500.0,Achat requis (citron) @ Shoprite Analakely | culture:32/35 > budget:32 > historique:32 > nutrition:24,Shoprite Analakely,,true,0
0,Foyer Europeen,dejeuner,Tsaramaso,4000.0,Achat requis (haricot) @ Shoprite Analakely | culture:32/35 > budget:32 > historique:31 > nutrition:23,Shoprite Analakely,,true,0
0,Foyer Europeen,diner,Kitoza grille,8500.0,Achat requis (boeuf_seche) @ Shoprite Analakely | culture:32/35 > budget:32 > historique:30 > nutrition:22,Shoprite Analakely,,true,0
0,Foyer Sans Porc,petit_dejeuner,Kitoza grille,25500.0,Achat requis (boeuf_seche) @ SuperU Andraharo | culture:30/35 > budget:30 > historique:30 > nutrition:24,SuperU Andraharo,,true,0
0,Foyer Sans Porc,dejeuner,Cereales lait,6000.0,Achat requis (cereales,lait) @ SuperU Andraharo | culture:30/35 > budget:26 > historique:26 > nutrition:20,SuperU Andraharo,,true,0
0,Foyer Sans Porc,diner,Lasary voatabia,7500.0,Achat requis (tomate,citron) @ Epicerie Isotry | culture:30/35 > budget:19 > historique:18 > nutrition:13,Epicerie Isotry,,true,0
0,Foyer Vegan,petit_dejeuner,Tsaramaso,8000.0,Stock suffisant | culture:11/35 > budget:11 > historique:11 > nutrition:10,,,false,0
0,Foyer Vegan,dejeuner,Ravitoto aux champignons,11000.0,Stock suffisant | culture:11/35 > budget:11 > historique:10 > nutrition:9,,,false,0
0,Foyer Vegan,diner,Lasary voatabia,5000.0,Achat requis (citron) @ Epicerie Isotry | culture:11/35 > budget:11 > historique:9 > nutrition:8,Epicerie Isotry,,true,0
0,Foyer Defaut,petit_dejeuner,Lasary voatabia,5000.0,Achat requis (citron) @ SuperU Andraharo | culture:35/35 > budget:35 > historique:35 > nutrition:27,SuperU Andraharo,,true,0
0,Foyer Defaut,dejeuner,Tsaramaso,8000.0,Achat requis (haricot) @ Epicerie Isotry | culture:35/35 > budget:35 > historique:34 > nutrition:26,Epicerie Isotry,,true,0
0,Foyer Defaut,diner,Kitoza grille,17000.0,Achat requis (boeuf_seche) @ SuperU Andraharo | culture:35/35 > budget:35 > historique:33 > nutrition:25,SuperU Andraharo,,true,0
0,Foyer Malbouffe,petit_dejeuner,Saosisy sy oeuf,5000.0,Achat requis (saucisse_porc) @ SuperU Andraharo | culture:35/35 > budget:35 > historique:35 > nutrition:8,SuperU Andraharo,,true,0
0,Foyer Malbouffe,dejeuner,Nuggets poulet,5500.0,Achat requis (chapelure) @ SuperU Andraharo | culture:35/35 > budget:35 > historique:34 > nutrition:7,SuperU Andraharo,,true,0
0,Foyer Malbouffe,diner,Chips et soda,2000.0,Achat requis (chips,soda) @ Shoprite Analakely | culture:35/35 > budget:35 > historique:33 > nutrition:6,Shoprite Analakely,,true,0
0,Foyer Malgache,petit_dejeuner,Cereales lait,10000.0,Achat requis (cereales,lait) @ SuperU Andraharo | culture:35/35 > budget:25 > historique:25 > nutrition:17,SuperU Andraharo,,true,0
0,Foyer Malgache,dejeuner,Lasary voatabia,12500.0,Achat requis (tomate,citron) @ Shoprite Analakely | culture:35/35 > budget:18 > historique:17 > nutrition:12,Shoprite Analakely,,true,0
0,Foyer Malgache,diner,Mofo gasy,7500.0,Achat requis (farine_riz,levure,sucre) @ Epicerie Isotry | culture:35/35 > budget:7 > historique:5 > nutrition:3,Epicerie Isotry,,true,0
0,Foyer Malgache,petit_dejeuner,ECHEC_ARBITRAGE,0.0,Budget insuffisant meme avec tolerance,,,false,0
0,Foyer Malgache,dejeuner,ECHEC_ARBITRAGE,0.0,Budget insuffisant meme avec tolerance,,,false,0
0,Foyer Malgache,diner,ECHEC_ARBITRAGE,0.0,Budget insuffisant meme avec tolerance,,,false,0
0,Foyer Malgache,petit_dejeuner,ECHEC_ARBITRAGE,0.0,Budget insuffisant meme avec tolerance,,,false,0
0,Foyer Malgache,dejeuner,ECHEC_ARBITRAGE,0.0,Budget insuffisant meme avec tolerance,,,false,0
0,Foyer Malgache,diner,ECHEC_ARBITRAGE,0.0,Budget insuffisant meme avec tolerance,,,false,0
0,Foyer Malgache,petit_dejeuner,ECHEC_ARBITRAGE,0.0,Budget insuffisant meme avec tolerance,,,false,0
0,Foyer Malgache,dejeuner,ECHEC_ARBITRAGE,0.0,Budget insuffisant meme avec tolerance,,,false,0
0,Foyer Malgache,diner,ECHEC_ARBITRAGE,0.0,Budget insuffisant meme avec tolerance,,,false,0
0,Foyer Malgache,petit_dejeuner,ECHEC_ARBITRAGE,0.0,Budget insuffisant meme avec tolerance,,,false,0
0,Foyer Malgache,dejeuner,ECHEC_ARBITRAGE,0.0,Budget insuffisant meme avec tolerance,,,false,0
0,Foyer Malgache,diner,ECHEC_ARBITRAGE,0.0,Budget insuffisant meme avec tolerance,,,false,0
0,Foyer Malgache,petit_dejeuner,ECHEC_ARBITRAGE,0.0,Budget insuffisant meme avec tolerance,,,false,0
0,Foyer Malgache,dejeuner,ECHEC_ARBITRAGE,0.0,Budget insuffisant meme avec tolerance,,,false,0
0,Foyer Malgache,diner,ECHEC_ARBITRAGE,0.0,Budget insuffisant meme avec tolerance,,,false,0
0,Foyer Malgache,petit_dejeuner,ECHEC_ARBITRAGE,0.0,Budget insuffisant meme avec tolerance,,,false,0
0,Foyer Malgache,dejeuner,ECHEC_ARBITRAGE,0.0,Budget insuffisant meme avec tolerance,,,false,0
0,Foyer Malgache,diner,ECHEC_ARBITRAGE,0.0,Budget insuffisant meme avec tolerance,,,false,0
0,Foyer Europeen,petit_dejeuner,Lasary voatabia,2500.0,Achat requis (citron) @ Shoprite Analakely | culture:32/35 > budget:32 > historique:32 > nutrition:24,Shoprite Analakely,,true,0
0,Foyer Europeen,dejeuner,Tsaramaso,4000.0,Achat requis (haricot) @ Shoprite Analakely | culture:32/35 > budget:32 > historique:31 > nutrition:23,Shoprite Analakely,,true,0
0,Foyer Europeen,diner,Kitoza grille,8500.0,Achat requis (boeuf_seche) @ Shoprite Analakely | culture:32/35 > budget:32 > historique:30 > nutrition:22,Shoprite Analakely,,true,0
0,Foyer Europeen,petit_dejeuner,Cereales lait,2000.0,Achat requis (cereales,lait) @ SuperU Andraharo | culture:32/35 > budget:32 > historique:29 > nutrition:21,SuperU Andraharo,,true,0
0,Foyer Europeen,dejeuner,Salade composee,3500.0,Achat requis (laitue,concombre) @ SuperU Andraharo | culture:32/35 > budget:32 > historique:28 > nutrition:20,SuperU Andraharo,,true,0
0,Foyer Europeen,diner,Riz legumes sautes,4000.0,Achat requis (carotte,haricot_vert) @ Shoprite Analakely | culture:32/35 > budget:32 > historique:27 > nutrition:19,Shoprite Analakely,,true,0
0,Foyer Europeen,petit_dejeuner,Omelette fromage,4000.0,Achat requis (fromage,beurre) @ SuperU Andraharo | culture:32/35 > budget:32 > historique:26 > nutrition:18,SuperU Andraharo,,true,0
0,Foyer Europeen,dejeuner,Ravitoto aux champignons,5500.0,Achat requis (feuilles_manioc,champignon) @ Epicerie Isotry | culture:32/35 > budget:32 > historique:25 > nutrition:17,Epicerie Isotry,,true,0
0,Foyer Europeen,diner,Henakisoa sy voatavo,7500.0,Achat requis (porc,courge) @ Shoprite Analakely | culture:32/35 > budget:32 > historique:24 > nutrition:16,Shoprite Analakely,,true,0
0,Foyer Europeen,petit_dejeuner,Akoho gasy,7500.0,Achat requis (gingembre,ail) @ Shoprite Analakely | culture:32/35 > budget:32 > historique:23 > nutrition:15,Shoprite Analakely,,true,0
0,Foyer Europeen,dejeuner,Ravitoto,8000.0,Achat requis (feuilles_manioc,porc) @ Shoprite Analakely | culture:32/35 > budget:32 > historique:22 > nutrition:14,Shoprite Analakely,,true,0
0,Foyer Europeen,diner,Hen'omby ritra,8000.0,Achat requis (boeuf,ail) @ Shoprite Analakely | culture:32/35 > budget:32 > historique:21 > nutrition:13,Shoprite Analakely,,true,0
0,Foyer Europeen,petit_dejeuner,Poulet grille legumes,8000.0,Achat requis (courgette,poivron) @ SuperU Andraharo | culture:32/35 > budget:32 > historique:20 > nutrition:12,SuperU Andraharo,,true,0
0,Foyer Europeen,dejeuner,Mofo gasy,1500.0,Achat requis (farine_riz,levure,sucre) @ Epicerie Isotry | culture:32/35 > budget:24 > historique:17 > nutrition:9,Epicerie Isotry,,true,0
0,Foyer Europeen,diner,Kabaka,2000.0,Achat requis (mais,sucre,lait) @ Epicerie Isotry | culture:32/35 > budget:20 > historique:12 > nutrition:6,Epicerie Isotry,,true,0
0,Foyer Europeen,petit_dejeuner,Yaourt fruits,2500.0,Achat requis (yaourt,banane,mangue) @ Epicerie Isotry | culture:32/35 > budget:11 > historique:6 > nutrition:3,Epicerie Isotry,,true,0
0,Foyer Europeen,dejeuner,ECHEC_ARBITRAGE,0.0,Budget insuffisant meme avec tolerance,,,false,0
0,Foyer Europeen,diner,ECHEC_ARBITRAGE,0.0,Budget insuffisant meme avec tolerance,,,false,0
0,Foyer Europeen,petit_dejeuner,ECHEC_ARBITRAGE,0.0,Budget insuffisant meme avec tolerance,,,false,0
0,Foyer Europeen,dejeuner,ECHEC_ARBITRAGE,0.0,Budget insuffisant meme avec tolerance,,,false,0
0,Foyer Europeen,diner,ECHEC_ARBITRAGE,0.0,Budget insuffisant meme avec tolerance,,,false,0
0,Foyer Sans Porc,petit_dejeuner,Kitoza grille,25500.0,Achat requis (boeuf_seche) @ SuperU Andraharo | culture:30/35 > budget:30 > historique:30 > nutrition:24,SuperU Andraharo,,true,0
0,Foyer Sans Porc,dejeuner,Cereales lait,6000.0,Achat requis (cereales,lait) @ SuperU Andraharo | culture:30/35 > budget:26 > historique:26 > nutrition:20,SuperU Andraharo,,true,0
0,Foyer Sans Porc,diner,Lasary voatabia,7500.0,Achat requis (tomate,citron) @ Epicerie Isotry | culture:30/35 > budget:19 > historique:18 > nutrition:13,Epicerie Isotry,,true,0
0,Foyer Sans Porc,petit_dejeuner,Mofo gasy,4500.0,Achat requis (farine_riz,levure,sucre) @ Epicerie Isotry | culture:30/35 > budget:11 > historique:9 > nutrition:6,Epicerie Isotry,,true,0
0,Foyer Sans Porc,dejeuner,Kabaka,6000.0,Achat requis (mais,sucre,lait) @ Epicerie Isotry | culture:30/35 > budget:5 > historique:3 > nutrition:1,Epicerie Isotry,,true,0
0,Foyer Sans Porc,diner,ECHEC_ARBITRAGE,0.0,Budget insuffisant meme avec tolerance,,,false,0
0,Foyer Sans Porc,petit_dejeuner,ECHEC_ARBITRAGE,0.0,Budget insuffisant meme avec tolerance,,,false,0
0,Foyer Sans Porc,dejeuner,ECHEC_ARBITRAGE,0.0,Budget insuffisant meme avec tolerance,,,false,0
0,Foyer Sans Porc,diner,ECHEC_ARBITRAGE,0.0,Budget insuffisant meme avec tolerance,,,false,0
0,Foyer Sans Porc,petit_dejeuner,ECHEC_ARBITRAGE,0.0,Budget insuffisant meme avec tolerance,,,false,0
0,Foyer Sans Porc,dejeuner,ECHEC_ARBITRAGE,0.0,Budget insuffisant meme avec tolerance,,,false,0
0,Foyer Sans Porc,diner,ECHEC_ARBITRAGE,0.0,Budget insuffisant meme avec tolerance,,,false,0
0,Foyer Sans Porc,petit_dejeuner,ECHEC_ARBITRAGE,0.0,Budget insuffisant meme avec tolerance,,,false,0
0,Foyer Sans Porc,dejeuner,ECHEC_ARBITRAGE,0.0,Budget insuffisant meme avec tolerance,,,false,0
0,Foyer Sans Porc,diner,ECHEC_ARBITRAGE,0.0,Budget insuffisant meme avec tolerance,,,false,0
0,Foyer Sans Porc,petit_dejeuner,ECHEC_ARBITRAGE,0.0,Budget insuffisant meme avec tolerance,,,false,0
0,Foyer Sans Porc,dejeuner,ECHEC_ARBITRAGE,0.0,Budget insuffisant meme avec tolerance,,,false,0
0,Foyer Sans Porc,diner,ECHEC_ARBITRAGE,0.0,Budget insuffisant meme avec tolerance,,,false,0
0,Foyer Sans Porc,petit_dejeuner,ECHEC_ARBITRAGE,0.0,Budget insuffisant meme avec tolerance,,,false,0
0,Foyer Sans Porc,dejeuner,ECHEC_ARBITRAGE,0.0,Budget insuffisant meme avec tolerance,,,false,0
0,Foyer Sans Porc,diner,ECHEC_ARBITRAGE,0.0,Budget insuffisant meme avec tolerance,,,false,0
0,Foyer Vegan,petit_dejeuner,Tsaramaso,8000.0,Stock suffisant | culture:11/35 > budget:11 > historique:11 > nutrition:10,,,false,0
0,Foyer Vegan,dejeuner,Ravitoto aux champignons,11000.0,Stock suffisant | culture:11/35 > budget:11 > historique:10 > nutrition:9,,,false,0
0,Foyer Vegan,diner,Lasary voatabia,5000.0,Achat requis (citron) @ Epicerie Isotry | culture:11/35 > budget:11 > historique:9 > nutrition:8,Epicerie Isotry,,true,0
0,Foyer Vegan,petit_dejeuner,Smoothie vert,6000.0,Achat requis (epinard) @ Epicerie Isotry | culture:11/35 > budget:5 > historique:4 > nutrition:3,Epicerie Isotry,,true,0
0,Foyer Vegan,dejeuner,ECHEC_ARBITRAGE,0.0,Budget insuffisant meme avec tolerance,,,false,0
0,Foyer Vegan,diner,ECHEC_ARBITRAGE,0.0,Budget insuffisant meme avec tolerance,,,false,0
